RAP	MSU
Os02g0153500	LOC_Os02g05940
Os02g0153700	LOC_Os02g05950
Os02g0153900	LOC_Os02g05960
Os02g0154000	LOC_Os02g05970
Os02g0154200	LOC_Os02g05980
Os02g0154600	LOC_Os02g06010
Os02g0154800	LOC_Os02g06030
Os02g0154975	LOC_Os02g06070
Os02g0155400	LOC_Os02g06090
Os02g0155600	LOC_Os02g06120
Os02g0155650	LOC_Os02g06120
Os02g0155750	LOC_Os02g06120
Os02g0155700	LOC_Os02g06130
Os02g0156000	LOC_Os02g06160
Os02g0156200	LOC_Os02g06180
Os02g0156400	LOC_Os02g06190
Os02g0156600	LOC_Os02g06200
Os02g0156633	LOC_Os02g06205
Os02g0156800	LOC_Os02g06210
NA	LOC_Os02g06240
Os02g0157100	LOC_Os02g06250
Os02g0157200	LOC_Os02g06260
Os02g0157400	LOC_Os02g06270
Os02g0157600	LOC_Os02g06290
Os02g0157700	LOC_Os02g06300
None	LOC_Os02g06330
Os02g0158100	LOC_Os02g06340
Os02g0158300	LOC_Os02g06360
Os02g0158400	LOC_Os02g06370
Os02g0158500	LOC_Os02g06380
Os02g0158800	LOC_Os02g06400
Os02g0159200	LOC_Os02g06430
Os02g0159700	LOC_Os02g06480
Os02g0159850	LOC_Os02g06480
Os02g0159900	LOC_Os02g06490
Os02g0160000	LOC_Os02g06500
Os02g0160250	LOC_Os02g06530
Os02g0160400	LOC_Os02g06540
Os02g0161000	LOC_Os02g06570
Os02g0161100	LOC_Os02g06580
Os02g0161400	LOC_Os02g06592
Os02g0161450	LOC_Os02g06600
Os02g0161500	LOC_Os02g06600
NA	LOC_Os02g06620
Os02g0161800	LOC_Os02g06630
Os02g0161900	LOC_Os02g06640
Os02g0162000	LOC_Os02g06650
Os02g0162500	LOC_Os02g06700
NA	LOC_Os02g06710
Os02g0162733	LOC_Os02g06720
Os02g0162700	LOC_Os02g06720
Os02g0164300	LOC_Os02g06840
Os02g0164450	LOC_Os02g06860
Os02g0164800	LOC_Os02g06890
Os02g0164900	LOC_Os02g06910
Os02g0165100	LOC_Os02g06930
Os02g0166800	LOC_Os02g07030
Os02g0167000	LOC_Os02g07040
Os02g0167100	LOC_Os02g07044
Os02g0167300	LOC_Os02g07060
Os02g0167500	LOC_Os02g07070
Os02g0167700	LOC_Os02g07120
Os02g0168000	LOC_Os02g07150
Os02g0168100	LOC_Os02g07160
Os02g0168600	LOC_Os02g07210
Os02g0168700	LOC_Os02g07220
Os02g0168800	LOC_Os02g07230
Os02g0168900	LOC_Os02g07240
Os02g0169300	LOC_Os02g07260
Os02g0169400	LOC_Os02g07310
Os02g0169900	LOC_Os02g07350
Os02g0170100	LOC_Os02g07410
Os02g0170300	LOC_Os02g07430
Os02g0170500	LOC_Os02g07450
Os02g0170900	LOC_Os02g07480
Os02g0171100	LOC_Os02g07490
Os02g0172600	LOC_Os02g07630
Os02g0173000	LOC_Os02g07670
Os02g0173100	LOC_Os02g07680
Os02g0173500	LOC_Os02g07720
Os02g0173600	LOC_Os02g07730
Os02g0173700	LOC_Os02g07740
Os02g0173800	LOC_Os02g07750
Os02g0173900	LOC_Os02g07760
Os02g0174000	LOC_Os02g07770
Os02g0174200	LOC_Os02g07790
Os02g0174400	LOC_Os02g07810
Os02g0174800	LOC_Os02g07820
Os02g0175000	LOC_Os02g07830
Os02g0175100	LOC_Os02g07840
Os02g0175400	LOC_Os02g07870
Os02g0175600	LOC_Os02g07890
Os02g0175700	LOC_Os02g07900
Os02g0175800	LOC_Os02g07910
Os02g0175900	LOC_Os02g07920
Os02g0176000	LOC_Os02g07930
Os02g0175950	LOC_Os02g07930
Os02g0176100	LOC_Os02g07960
Os02g0176200	LOC_Os02g07970
Os02g0176400	LOC_Os02g07980
Os02g0176700	LOC_Os02g08010
Os02g0176650	LOC_Os02g08010
NA	LOC_Os02g08018
Os02g0176900	LOC_Os02g08030
Os02g0177300	LOC_Os02g08070
Os02g0177500	LOC_Os02g08090
Os02g0177600	LOC_Os02g08100
Os02g0177700	LOC_Os02g08110
Os02g0177900	LOC_Os02g08130
Os02g0178000	LOC_Os02g08140
Os02g0178200	LOC_Os02g08160
Os02g0178400	LOC_Os02g08180
Os02g0178500	LOC_Os02g08190
Os02g0178800	LOC_Os02g08230
Os02g0179000	LOC_Os02g08240
Os02g0179100	LOC_Os02g08260
Os02g0179200	LOC_Os02g08270
Os02g0179300	LOC_Os02g08300
Os02g0179400	LOC_Os02g08310
Os02g0179500	LOC_Os02g08320
Os02g0179600	LOC_Os02g08330
Os02g0179800	LOC_Os02g08350
Os02g0179900	LOC_Os02g08360
Os02g0180000	LOC_Os02g08364
Os02g0180100	LOC_Os02g08370
Os02g0180200	LOC_Os02g08380
Os02g0180500	LOC_Os02g08410
Os02g0180700	LOC_Os02g08420
Os02g0181300	LOC_Os02g08440
Os02g0181800	LOC_Os02g08480
Os02g0181900	LOC_Os02g08490
Os02g0182100	LOC_Os02g08500
Os02g0182500	LOC_Os02g08520
Os02g0182600	LOC_Os02g08530
Os02g0182800	LOC_Os02g08544
Os02g0182900	LOC_Os02g09060
Os02g0183500	LOC_Os02g09080
Os02g0183900	LOC_Os02g09100
Os02g0184000	LOC_Os02g09130
Os02g0184200	LOC_Os02g09150
Os02g0184400	LOC_Os02g09170
Os02g0184500	LOC_Os02g09180
Os02g0184600	LOC_Os02g09190
Os02g0184700	LOC_Os02g09200
Os02g0184900	LOC_Os02g09220
Os02g0185200	LOC_Os02g09240
Os02g0185300	LOC_Os02g09250
Os02g0185400	LOC_Os02g09260
Os02g0185500	LOC_Os02g09270
Os02g0185900	LOC_Os02g09290
Os02g0186100	LOC_Os02g09310
Os02g0186200	LOC_Os02g09320
Os02g0186300	LOC_Os02g09330
Os02g0186400	LOC_Os02g09340
Os02g0186500	LOC_Os02g09359
Os02g0186800	LOC_Os02g09390
Os02g0186900	LOC_Os02g09400
Os02g0187000	LOC_Os02g09410
Os02g0187100	LOC_Os02g09420
Os02g0187400	LOC_Os02g09450
Os02g0187500	LOC_Os02g09460
Os02g0187600	LOC_Os02g09470
Os02g0187700	LOC_Os02g09480
Os02g0187800	LOC_Os02g09490
Os02g0188000	LOC_Os02g09510
Os02g0189000	LOC_Os02g09590
Os02g0189100	LOC_Os02g09600
Os02g0189500	LOC_Os02g09650
Os02g0190300	LOC_Os02g09720
Os02g0190500	LOC_Os02g09740
Os02g0190600	LOC_Os02g09750
Os02g0190800	LOC_Os02g09770
Os02g0190900	LOC_Os02g09780
Os02g0191000	LOC_Os02g09790
Os02g0191300	LOC_Os02g09810
Os02g0191600	LOC_Os02g09830
Os02g0191700	LOC_Os02g09840
Os02g0192100	LOC_Os02g09890
Os02g0192300	LOC_Os02g09910
Os02g0192500	LOC_Os02g09930
Os02g0192700	LOC_Os02g09940
Os02g0193000	LOC_Os02g09960
Os02g0193600	LOC_Os02g10020
Os02g0193900	LOC_Os02g10050
Os02g0194000	LOC_Os02g10060
Os02g0194100	LOC_Os02g10070
Os02g0194200	LOC_Os02g10080
Os02g0194400	LOC_Os02g10100
Os02g0194600	LOC_Os02g10110
Os02g0194700	LOC_Os02g10120
Os02g0194800	LOC_Os02g10130
Os02g0194900	LOC_Os02g10140
Os02g0195300	LOC_Os02g10180
Os02g0195600	LOC_Os02g10200
Os02g0195800	LOC_Os02g10220
Os02g0196000	LOC_Os02g10230
Os02g0196300	LOC_Os02g10260
Os02g0196600	LOC_Os02g10290
Os02g0196700	LOC_Os02g10300
Os02g0196800	LOC_Os02g10310
Os02g0196900	LOC_Os02g10320
Os02g0197200	LOC_Os02g10350
Os02g0197500	LOC_Os02g10380
Os02g0197600	LOC_Os02g10390
Os02g0197700	LOC_Os02g10400
Os02g0197750	LOC_Os02g10420
Os02g0198200	LOC_Os02g10470
Os02g0198300	LOC_Os02g10480
Os02g0198600	LOC_Os02g10510
Os02g0198700	LOC_Os02g10520
Os02g0198900	LOC_Os02g10540
Os02g0199200	LOC_Os02g10580
Os02g0199300	LOC_Os02g10590
Os02g0199900	LOC_Os02g10640
Os02g0200000	LOC_Os02g10650
Os02g0200300	LOC_Os02g10660
Os02g0200900	LOC_Os02g10700
Os02g0201000	LOC_Os02g10710
Os02g0201500	LOC_Os02g10740
Os02g0201401	LOC_Os02g10740
Os02g0202000	LOC_Os02g10760
Os02g0201900	LOC_Os02g10770
Os02g0202200	LOC_Os02g10780
Os02g0202250	LOC_Os02g10790
Os02g0202400	LOC_Os02g10800
None	LOC_Os02g10830
Os02g0202900	LOC_Os02g10850
Os02g0202950	LOC_Os02g10860
Os02g0203000	LOC_Os02g10860
Os02g0203300	LOC_Os02g10880
Os02g0204300	LOC_Os02g10970
Os02g0204201	LOC_Os02g10970
Os02g0204400	LOC_Os02g10990
Os02g0204700	LOC_Os02g11020
Os02g0205000	LOC_Os02g11030
Os02g0205300	LOC_Os02g11050
Os02g0205400	LOC_Os02g11060
Os02g0205500	LOC_Os02g11070
Os02g0206100	LOC_Os02g11110
Os02g0206400	LOC_Os02g11130
Os02g0206700	LOC_Os02g11640
Os02g0207400	LOC_Os02g11700
Os02g0207900	LOC_Os02g11720
Os02g0208100	LOC_Os02g11740
Os02g0208200	LOC_Os02g11750
Os02g0208300	LOC_Os02g11760
Os02g0208600	LOC_Os02g11780
Os02g0208700	LOC_Os02g11790
Os02g0208900	LOC_Os02g11820
Os02g0209000	LOC_Os02g11830
Os02g0209100	LOC_Os02g11840
Os02g0209400	LOC_Os02g11870
Os02g0209900	LOC_Os02g11890
Os02g0210700	LOC_Os02g11930
Os02g0210800	LOC_Os02g11940
Os02g0211000	LOC_Os02g11960
Os02g0211200	LOC_Os02g11980
Os02g0211600	LOC_Os02g12010
Os02g0211800	LOC_Os02g12030
Os02g0211900	LOC_Os02g12040
Os02g0212900	LOC_Os02g12130
Os02g0214300	LOC_Os02g12290
Os02g0214900	LOC_Os02g12350
Os02g0215000	LOC_Os02g12360
Os02g0215200	LOC_Os02g12380
Os02g0215500	LOC_Os02g12400
Os02g0215650	LOC_Os02g12410
Os02g0215700	LOC_Os02g12420
Os02g0215900	LOC_Os02g12440
Os02g0216000	LOC_Os02g12450
Os02g0217300	LOC_Os02g12540
Os02g0217400	LOC_Os02g12550
Os02g0217500	LOC_Os02g12570
Os02g0217600	LOC_Os02g12580
Os02g0217800	LOC_Os02g12600
Os02g0217850	LOC_Os02g12610
Os02g0217900	LOC_Os02g12610
Os02g0218200	LOC_Os02g12650
Os02g0218400	LOC_Os02g12660
Os02g0218600	LOC_Os02g12670
Os02g0218700	LOC_Os02g12680
Os02g0218800	LOC_Os02g12690
Os02g0219000	LOC_Os02g12700
Os02g0219050	LOC_Os02g12710
Os02g0219100	LOC_Os02g12720
Os02g0219200	LOC_Os02g12730
Os02g0219400	LOC_Os02g12740
Os02g0219800	LOC_Os02g12750
Os02g0220100	LOC_Os02g12780
Os02g0220400	LOC_Os02g12790
Os02g0220500	LOC_Os02g12794
Os02g0220600	LOC_Os02g12800
Os02g0220700	LOC_Os02g12810
Os02g0221500	LOC_Os02g12850
Os02g0221800	LOC_Os02g12880
Os02g0221900	LOC_Os02g12890
Os02g0222100	LOC_Os02g12900
None	LOC_Os02g12910
Os02g0224100	LOC_Os02g13100
Os02g0224200	LOC_Os02g13110
Os02g0224300	LOC_Os02g13130
Os02g0224400	LOC_Os02g13140
Os02g0224800	LOC_Os02g13150
Os02g0225000	LOC_Os02g13170
Os02g0225100	LOC_Os02g13180
Os02g0225900	LOC_Os02g13260
Os02g0226000	LOC_Os02g13270
Os02g0226300	LOC_Os02g13300
Os02g0226350	LOC_Os02g13300
Os02g0226600	LOC_Os02g13310
Os02g0226801	LOC_Os02g13330
Os02g0226900	LOC_Os02g13340
Os02g0227400	LOC_Os02g13400
Os02g0227600	LOC_Os02g13420
Os02g0227700	LOC_Os02g13430
Os02g0228000	LOC_Os02g13460
Os02g0228300	LOC_Os02g13510
Os02g0228900	LOC_Os02g13520
Os02g0229000	LOC_Os02g13530
Os02g0229400	LOC_Os02g13560
Os02g0229600	LOC_Os02g13570
NA	LOC_Os02g13580
Os02g0230100	LOC_Os02g13640
Os02g0231000	LOC_Os02g13710
Os02g0231700	LOC_Os02g13780
Os02g0232000	LOC_Os02g13800
Os02g0232100	LOC_Os02g13810
Os02g0232300	LOC_Os02g13830
Os02g0232400	LOC_Os02g13840
Os02g0232900	LOC_Os02g13870
Os02g0234300	LOC_Os02g13960
Os02g0234450	LOC_Os02g13965
Os02g0234500	LOC_Os02g13970
Os02g0234800	LOC_Os02g13990
Os02g0235000	LOC_Os02g14000
Os02g0235600	LOC_Os02g14059
Os02g0235900	LOC_Os02g14090
Os02g0236000	LOC_Os02g14110
Os02g0236100	LOC_Os02g14120
Os02g0236200	LOC_Os02g14130
Os02g0237100	LOC_Os02g14190
Os02g0238500	LOC_Os02g14290
Os02g0241600	LOC_Os02g14530
None	LOC_Os02g14540
Os02g0242100	LOC_Os02g14570
Os02g0242550	LOC_Os02g14590
Os02g0242900	LOC_Os02g14630
Os02g0243300	LOC_Os02g14680
Os02g0244300	LOC_Os02g14730
Os02g0244600	LOC_Os02g14760
Os02g0244700	LOC_Os02g14770
Os02g0245000	LOC_Os02g14780
Os02g0245100	LOC_Os02g14790
Os02g0245800	LOC_Os02g14840
Os02g0246300	LOC_Os02g14860
Os02g0247000	LOC_Os02g14900
Os02g0247100	LOC_Os02g14910
Os02g0247200	LOC_Os02g14929
Os02g0247800	LOC_Os02g14980
Os02g0248200	LOC_Os02g15020
Os02g0248800	LOC_Os02g15070
Os02g0248900	LOC_Os02g15080
Os02g0249000	LOC_Os02g15090
Os02g0249200	LOC_Os02g15110
Os02g0249300	LOC_Os02g15120
Os02g0249600	LOC_Os02g15150
Os02g0249700	LOC_Os02g15160
Os02g0249900	LOC_Os02g15169
Os02g0249800	LOC_Os02g15178
Os02g0250300	LOC_Os02g15220
Os02g0252100	LOC_Os02g15310
Os02g0252200	LOC_Os02g15340
Os02g0252400	LOC_Os02g15350
Os02g0254700	LOC_Os02g15550
Os02g0255000	LOC_Os02g15580
Os02g0255100	LOC_Os02g15594
Os02g0255200	LOC_Os02g15610
Os02g0255500	LOC_Os02g15640
Os02g0256100	LOC_Os02g15690
Os02g0257200	LOC_Os02g15740
Os02g0257300	LOC_Os02g15750
Os02g0257400	LOC_Os02g15750
Os02g0257500	LOC_Os02g15760
Os02g0258250	LOC_Os02g15810
Os02g0258200	LOC_Os02g15810
Os02g0258900	LOC_Os02g15870
Os02g0259600	LOC_Os02g15900
Os02g0260200	LOC_Os02g15950
Os02g0260700	LOC_Os02g16000
Os02g0261100	LOC_Os02g16040
Os02g0263432	LOC_Os02g16330
Os02g0264800	LOC_Os02g16500
Os02g0265200	LOC_Os02g16540
Os02g0265400	LOC_Os02g16550
None	LOC_Os02g16560
Os02g0265700	LOC_Os02g16600
Os02g0265900	LOC_Os02g16620
Os02g0266000	LOC_Os02g16630
Os02g0266100	LOC_Os02g16640
Os02g0266200	LOC_Os02g16650
Os02g0266500	LOC_Os02g16670
Os02g0266800	LOC_Os02g16680
Os02g0267000	LOC_Os02g16709
Os02g0267200	LOC_Os02g16730
Os02g0267700	LOC_Os02g16780
Os02g0267900	LOC_Os02g16800
Os02g0268400	LOC_Os02g16809
Os02g0268100	LOC_Os02g16820
Os02g0268300	LOC_Os02g16830
Os02g0268050	LOC_Os02g16839
Os02g0268600	LOC_Os02g16850
Os02g0269000	LOC_Os02g16880
Os02g0269200	LOC_Os02g16909
Os02g0269600	LOC_Os02g16940
Os02g0270200	LOC_Os02g17000
Os02g0270800	LOC_Os02g17060
Os02g0270900	LOC_Os02g17080
Os02g0271000	LOC_Os02g17090
Os02g0271600	LOC_Os02g17150
Os02g0272200	LOC_Os02g17230
Os02g0272300	LOC_Os02g17240
Os02g0272400	LOC_Os02g17250
Os02g0272600	LOC_Os02g17280
Os02g0272900	LOC_Os02g17304
Os02g0273000	LOC_Os02g17320
Os02g0273100	LOC_Os02g17330
Os02g0273700	LOC_Os02g17350
Os02g0273800	LOC_Os02g17360
Os02g0274100	LOC_Os02g17390
None	LOC_Os02g17400
Os02g0274900	LOC_Os02g17500
Os02g0275100	LOC_Os02g17520
Os02g0276500	LOC_Os02g17650
Os02g0276900	LOC_Os02g17680
Os02g0277600	LOC_Os02g17700
Os02g0277700	LOC_Os02g17710
Os02g0278400	LOC_Os02g17760
Os02g0278700	LOC_Os02g17780
Os02g0279600	LOC_Os02g17850
Os02g0280100	LOC_Os02g17870
Os02g0280000	LOC_Os02g17870
Os02g0280200	LOC_Os02g17880
Os02g0280250	LOC_Os02g17900
Os02g0280300	LOC_Os02g17900
Os02g0280400	LOC_Os02g17910
Os02g0280500	LOC_Os02g17920
Os02g0280700	LOC_Os02g17940
Os02g0281000	LOC_Os02g17970
Os02g0281150	LOC_Os02g17990
Os02g0282500	LOC_Os02g18140
Os02g0282900	LOC_Os02g18180
Os02g0283800	LOC_Os02g18320
Os02g0284600	LOC_Os02g18380
Os02g0285300	LOC_Os02g18410
Os02g0285700	LOC_Os02g18430
Os02g0285800	LOC_Os02g18450
Os02g0286850	LOC_Os02g18510
Os02g0287000	LOC_Os02g18550
Os02g0288100	LOC_Os02g18650
Os02g0288400	LOC_Os02g18670
Os02g0288700	LOC_Os02g18700
Os02g0288766	LOC_Os02g18700
Os02g0290400	LOC_Os02g18830
Os02g0290500	LOC_Os02g18840
Os02g0290600	LOC_Os02g18850
Os02g0291000	LOC_Os02g18880
Os02g0291400	LOC_Os02g18930
Os02g0292600	LOC_Os02g19040
Os02g0293300	LOC_Os02g19130
Os02g0293400	LOC_Os02g19140
Os02g0293500	LOC_Os02g19150
Os02g0293800	LOC_Os02g19170
Os02g0293900	LOC_Os02g19180
Os02g0294600	LOC_Os02g19210
Os02g0294700	LOC_Os02g19220
Os02g0295700	LOC_Os02g19330
None	LOC_Os02g19380
Os02g0296400	LOC_Os02g19420
Os02g0296800	LOC_Os02g19440
Os02g0297132	LOC_Os02g19450
Os02g0297000	LOC_Os02g19450
Os02g0297067	LOC_Os02g19450
Os02g0297600	LOC_Os02g19510
None	LOC_Os02g19530
Os02g0298200	LOC_Os02g19550
Os02g0299200	LOC_Os02g19640
Os02g0300500	LOC_Os02g19750
Os02g0300700	LOC_Os02g19770
Os02g0300900	LOC_Os02g19790
Os02g0301000	LOC_Os02g19804
Os02g0301100	LOC_Os02g19820
Os02g0301500	LOC_Os02g19860
Os02g0301700	LOC_Os02g19880
Os02g0301800	LOC_Os02g19890
Os02g0302200	LOC_Os02g19924
Os02g0302700	LOC_Os02g19970
Os02g0302900	LOC_Os02g19990
Os02g0304500	LOC_Os02g20140
Os02g0304900	LOC_Os02g20170
Os02g0306401	LOC_Os02g20360
Os02g0306900	LOC_Os02g20394
Os02g0307000	LOC_Os02g20410
Os02g0307200	LOC_Os02g20430
Os02g0307800	LOC_Os02g20490
Os02g0308400	LOC_Os02g20540
Os02g0308800	LOC_Os02g20560
Os02g0309200	LOC_Os02g20590
None	LOC_Os02g20600
Os02g0311150	LOC_Os02g20720
Os02g0312500	LOC_Os02g20844
Os02g0312600	LOC_Os02g20850
Os02g0312700	LOC_Os02g20860
Os02g0313400	LOC_Os02g20930
Os02g0313500	LOC_Os02g20940
Os02g0313700	LOC_Os02g20970
Os02g0313900	LOC_Os02g20980
Os02g0314300	LOC_Os02g21009
Os02g0314400	LOC_Os02g21009
Os02g0314600	LOC_Os02g21040
Os02g0315400	LOC_Os02g21080
Os02g0315600	LOC_Os02g21090
Os02g0317300	LOC_Os02g21240
Os02g0317400	LOC_Os02g21250
Os02g0317500	LOC_Os02g21260
Os02g0318450	LOC_Os02g21340
Os02g0318500	LOC_Os02g21340
Os02g0319300	LOC_Os02g21460
Os02g0319800	LOC_Os02g21490
Os02g0320100	LOC_Os02g21510
Os02g0320300	LOC_Os02g21520
Os02g0321800	LOC_Os02g21650
Os02g0321900	LOC_Os02g21660
Os02g0322400	LOC_Os02g21700
None	LOC_Os02g21710
Os02g0323000	LOC_Os02g21750
Os02g0323600	LOC_Os02g21810
Os02g0324300	LOC_Os02g21880
Os02g0324500	LOC_Os02g21900
Os02g0324700	LOC_Os02g21920
NA	LOC_Os02g21925
Os02g0325100	LOC_Os02g21970
Os02g0325600	LOC_Os02g22020
Os02g0326200	LOC_Os02g22070
Os02g0326600	LOC_Os02g22090
Os02g0327100	LOC_Os02g22140
Os02g0327700	LOC_Os02g22190
Os02g0329300	LOC_Os02g22370
Os02g0329800	LOC_Os02g22380
Os02g0330200	LOC_Os02g22480
Os02g0331200	LOC_Os02g22650
Os02g0332200	LOC_Os02g22780
Os02g0435000	LOC_Os02g23890
Os02g0436400	LOC_Os02g24020
Os02g0437200	LOC_Os02g24080
Os02g0437800	LOC_Os02g24134
Os02g0438200	LOC_Os02g24190
Os02g0439700	LOC_Os02g24330
Os02g0440000	LOC_Os02g24354
Os02g0440900	LOC_Os02g24430
None	LOC_Os02g24574
None	LOC_Os02g24576
None	LOC_Os02g24596
None	LOC_Os02g24604
None	LOC_Os02g24612
None	LOC_Os02g24628
None	LOC_Os02g24632
None	LOC_Os02g24634
None	LOC_Os02g24642
Os02g0445100	LOC_Os02g24700
Os02g0445300	LOC_Os02g24720
Os02g0445200	LOC_Os02g24720
Os02g0448000	LOC_Os02g25020
Os02g0448400	LOC_Os02g25060
Os02g0452500	LOC_Os02g25580
Os02g0452601	LOC_Os02g25580
Os02g0453400	LOC_Os02g25630
Os02g0453600	LOC_Os02g25640
Os02g0455900	LOC_Os02g25830
Os02g0456000	LOC_Os02g25840
Os02g0456500	LOC_Os02g25870
Os02g0456800	LOC_Os02g25900
Os02g0457100	LOC_Os02g25910
Os02g0457300	LOC_Os02g25940
None	LOC_Os02g25950
Os02g0457500	LOC_Os02g25960
Os02g0458100	LOC_Os02g26014
Os02g0459300	LOC_Os02g26140
Os02g0459600	LOC_Os02g26160
Os02g0462900	LOC_Os02g26440
Os02g0463500	LOC_Os02g26480
Os02g0464400	LOC_Os02g26550
Os02g0464500	LOC_Os02g26560
Os02g0465400	LOC_Os02g26650
Os02g0465500	LOC_Os02g26660
Os02g0465600	LOC_Os02g26670
Os02g0465900	LOC_Os02g26700
Os02g0466400	LOC_Os02g26720
Os02g0467000	LOC_Os02g26770
Os02g0467500	LOC_Os02g26800
Os02g0467600	LOC_Os02g26810
Os02g0467700	LOC_Os02g26814
Os02g0468200	LOC_Os02g26850
Os02g0469200	LOC_Os02g26984
Os02g0469300	LOC_Os02g27000
Os02g0469600	LOC_Os02g27030
Os02g0470000	LOC_Os02g27070
Os02g0470600	LOC_Os02g27110
Os02g0470400	LOC_Os02g27110
Os02g0471300	LOC_Os02g27200
Os02g0471500	LOC_Os02g27220
Os02g0472500	LOC_Os02g27300
Os02g0472700	LOC_Os02g27310
Os02g0472566	LOC_Os02g27310
Os02g0472632	LOC_Os02g27310
Os02g0473200	LOC_Os02g27360
Os02g0474300	LOC_Os02g27440
Os02g0474700	LOC_Os02g27470
Os02g0475400	LOC_Os02g27490
Os02g0477700	LOC_Os02g27620
Os02g0478500	LOC_Os02g27740
Os02g0478600	LOC_Os02g27760
Os02g0478700	LOC_Os02g27769
Os02g0478900	LOC_Os02g27790
Os02g0479300	LOC_Os02g27810
Os02g0479400	LOC_Os02g27820
NA	LOC_Os02g27940
Os02g0480900	LOC_Os02g27950
Os02g0481700	LOC_Os02g28040
Os02g0488600	LOC_Os02g28720
Os02g0489400	LOC_Os02g28810
Os02g0489500	LOC_Os02g28820
Os02g0489550	LOC_Os02g28830
Os02g0489800	LOC_Os02g28850
Os02g0490000	LOC_Os02g28870
Os02g0490500	LOC_Os02g28900
Os02g0491400	LOC_Os02g28980
Os02g0491600	LOC_Os02g29000
Os02g0491800	LOC_Os02g29020
Os02g0492000	LOC_Os02g29040
Os02g0492300	LOC_Os02g29070
Os02g0492900	LOC_Os02g29130
Os02g0493050	LOC_Os02g29140
Os02g0493100	LOC_Os02g29150
Os02g0493300	LOC_Os02g29160
Os02g0494000	LOC_Os02g29190
Os02g0494400	LOC_Os02g29210
Os02g0496100	LOC_Os02g29340
Os02g0496500	LOC_Os02g29380
Os02g0496900	LOC_Os02g29400
Os02g0497500	LOC_Os02g29464
Os02g0497700	LOC_Os02g29480
Os02g0498700	LOC_Os02g29530
Os02g0502300	LOC_Os02g29720
Os02g0500700	LOC_Os02g29720
Os02g0502500	LOC_Os02g29890
Os02g0503100	LOC_Os02g29960
Os02g0503400	LOC_Os02g30050
Os02g0503500	LOC_Os02g30060
Os02g0503700	LOC_Os02g30080
Os02g0503800	LOC_Os02g30090
Os02g0503850	LOC_Os02g30090
Os02g0503900	LOC_Os02g30100
Os02g0504000	LOC_Os02g30110
Os02g0504500	LOC_Os02g30180
Os02g0504800	LOC_Os02g30200
Os02g0504900	LOC_Os02g30210
Os02g0505400	LOC_Os02g30230
Os02g0505500	LOC_Os02g30240
Os02g0506100	LOC_Os02g30280
Os02g0506500	LOC_Os02g30310
Os02g0506600	LOC_Os02g30320
Os02g0508000	LOC_Os02g30460
None	LOC_Os02g30540
Os02g0509600	LOC_Os02g30610
Os02g0510000	LOC_Os02g30620
Os02g0510100	LOC_Os02g30624
Os02g0510200	LOC_Os02g30630
Os02g0510600	LOC_Os02g30650
NA	LOC_Os02g30690
Os02g0511400	LOC_Os02g30714
Os02g0511500	LOC_Os02g30730
Os02g0511600	LOC_Os02g30780
Os02g0511901	LOC_Os02g30800
Os02g0511900	LOC_Os02g30800
Os02g0512000	LOC_Os02g30810
Os02g0512300	LOC_Os02g30840
Os02g0512400	LOC_Os02g30850
Os02g0513000	LOC_Os02g30900
Os02g0513100	LOC_Os02g30910
Os02g0514500	LOC_Os02g31030
Os02g0514700	LOC_Os02g31040
Os02g0514725	LOC_Os02g31040
Os02g0515200	LOC_Os02g31080
Os02g0515600	LOC_Os02g31100
Os02g0516600	LOC_Os02g31150
Os02g0516800	LOC_Os02g31160
Os02g0517300	LOC_Os02g31220
Os02g0517531	LOC_Os02g31290
Os02g0518500	LOC_Os02g31890
Os02g0518600	LOC_Os02g31910
Os02g0519100	LOC_Os02g31940
Os02g0519401	LOC_Os02g31980
Os02g0519900	LOC_Os02g32030
Os02g0520000	LOC_Os02g32040
Os02g0520100	LOC_Os02g32060
Os02g0520750	LOC_Os02g32110
Os02g0520800	LOC_Os02g32120
Os02g0521100	LOC_Os02g32140
Os02g0521300	LOC_Os02g32160
Os02g0521500	LOC_Os02g32180
Os02g0523300	LOC_Os02g32340
Os02g0523500	LOC_Os02g32350
Os02g0523800	LOC_Os02g32370
Os02g0524300	LOC_Os02g32400
Os02g0524600	LOC_Os02g32430
Os02g0525400	LOC_Os02g32460
Os02g0525900	LOC_Os02g32490
Os02g0526400	LOC_Os02g32520
Os02g0526500	LOC_Os02g32530
Os02g0526600	LOC_Os02g32540
Os02g0527100	LOC_Os02g32570
Os02g0527300	LOC_Os02g32590
Os02g0527600	LOC_Os02g32610
Os02g0527900	LOC_Os02g32620
Os02g0528100	LOC_Os02g32650
Os02g0528200	LOC_Os02g32660
Os02g0528900	LOC_Os02g32690
Os02g0529150	LOC_Os02g32700
Os02g0529400	LOC_Os02g32730
Os02g0529500	LOC_Os02g32740
Os02g0529600	LOC_Os02g32750
Os02g0529700	LOC_Os02g32760
Os02g0529800	LOC_Os02g32770
Os02g0530100	LOC_Os02g32814
Os02g0530500	LOC_Os02g32850
Os02g0531200	LOC_Os02g32930
Os02g0531600	LOC_Os02g32950
Os02g0532800	LOC_Os02g32990
Os02g0532900	LOC_Os02g33000
Os02g0533000	LOC_Os02g33010
Os02g0533200	LOC_Os02g33020
Os02g0533300	LOC_Os02g33030
Os02g0533900	LOC_Os02g33080
Os02g0534400	LOC_Os02g33110
Os02g0534800	LOC_Os02g33140
